適用規格,調査名,調査目的,調査対象,ボーリング連番,経度_度,経度_分,経度_秒,緯度_度,緯度_分,緯度_秒,測地系,コード1次,コード2次,コード3次,発注機関名称,調査期間_終了年月日,調査会社_名称,孔口標高,総掘進長,柱状図様式,掘進方向,岩石土区分_下端深度,岩石土区分_岩石土名,岩石土区分_岩石群コード,色調_下端深度,標準貫入試験_開始深度,標準貫入試験_合計打撃回数,標準貫入試験_合計貫入量,孔内水位_孔内水位,バージョン変換情報,事業工事名,ボーリング名,ボーリング総数,取得方法コード,読取精度コード,調査期間_開始年月日,調査会社_主任技師,調査会社_現場代理人,調査会社_コア鑑定者,調査会社_ボーリング責任者,掘進角度,地盤勾配,試錐機_名称,試錐機_能力,試錐機_方法,エンジン_名称,ハンマー落下用具_コード,ハンマー落下用具_名称,N値記録用具_コード,N値記録用具_名称,ポンプ_名称,岩石土区分_岩石土記号,岩石土区分_岩石,色調_色調名,観察記事_上端深度,観察記事_下端深度,観察記事_記事,硬軟区分判定表_コード,硬軟区分判定表_記号,硬軟区分判定表_区分,硬軟区分判定表_説明,硬軟区分_下端深度,硬軟区分_硬軟区分,コア形状区分判定表_コード,コア形状区分判定表_記号,コア形状区分判定表_区分,コア形状区分判定表_説明,コア形状区分_下端深度,コア形状区分_コア形状区分,割れ目区分_下端深度,割れ目区分_割れ目区分,風化区分_下端深度,風化区分_風化区分,変質区分判定表_コード,変質区分判定表_記号,変質区分判定表_区分,変質区分判定表_説明,変質区分_下端深度,変質区分_変質区分,孔内水位_測定年月日,孔内水位_掘削状況コード,孔内水位_掘削状況,孔内水位_水位種別コード,掘削工程_測定年月日,掘削工程_掘進深度,掘削工程_ケーシング下端深度,孔径孔壁保護_下端深度,孔径孔壁保護_孔径,孔径孔壁保護_孔壁保護コード,孔径孔壁保護_孔壁保護実施理由,掘進速度_下端深度,掘進速度_掘進速度,コアチューブビット_下端深度,コアチューブビット_コアチューブ名,コアチューブビット_ビット名,給圧条件_下端深度,給圧条件_給圧,回転数_下端深度,回転数_回転数,送水条件_下端深度,送水条件_送水圧,送水条件_送水量,送水条件_排水量,送水条件_送水種類コード,コア採取率_下端深度,コア採取率_採取率,最大コア長_下端深度,最大コア長_コア長,RQD_下端深度,RQD_RQD,岩級区分判定表_項目名,岩級区分判定表_コード,岩級区分判定表_記号,岩級区分判定表_説明,岩級区分_下端深度,岩級区分_岩級区分,地質柱状図様式,ハンマ落下用具_コード,ハンマ落下用具_名称,岩石土区分_岩相,色調_状態,観察記事枠線_下端深度,標準貫入試験_0_10打撃回数,標準貫入試験_0_10貫入量,標準貫入試験_10_20打撃回数,標準貫入試験_10_20貫入量,標準貫入試験_20_30打撃回数,標準貫入試験_20_30貫入量,孔内水平載荷試験_試験深度,孔内水平載荷試験_試験方法コード,孔内水平載荷試験_初期圧,孔内水平載荷試験_降伏圧,孔内水平載荷試験_変形係数,透水試験_上端深度,透水試験_下端深度,透水試験_試験コード,透水試験_試験方法,透水試験_透水係数,P波試験_上端深度,P波試験_下端深度,P波試験_速度,S波試験_上端深度,S波試験_下端深度,S波試験_速度,試料採取_上端深度,試料採取_下端深度,試料採取_試料番号,試料採取_採取方法コード,地質時代_上端深度,地質時代_下端深度,地質時代_地質時代名,地質時代_形成年代上限,地質時代_形成年代下限,孔径孔壁保護_孔壁保護方法,標準貫入試験_備考,座標定義,座標,エンジン_能力,エンジン_単位,ポンプ_能力,ポンプ_単位,櫓種類コード,相対密度稠度_下端深度,相対密度_コード,相対密度_状態,相対稠度_コード,相対稠度_状態,地層岩体区分_上端深度,地層岩体区分_下端深度,地層岩体区分_地層岩体名,割れ目区分判定表_コード,割れ目区分判定表_記号,割れ目区分判定表_区分,割れ目区分判定表_説明,風化区分判定表_コード,風化区分判定表_記号,風化区分判定表_区分,風化区分判定表_説明,孔内水平載荷試験_載荷パターン,断層破砕帯区分_上端深度,断層破砕帯区分_下端深度,断層破砕帯区分_性状コード,送水条件_送水種類,孔内水位_水位種別備考,取得方法説明,岩石土区分_変成岩岩石,試料採取_試験名,その他原位置試験_試験名,その他原位置試験_上端深度,その他原位置試験_下端深度,その他原位置試験_試験結果,掘進方位,P波試験_起振方式,S波試験_起振方式,試料採取_採取方法,保孔管_下端深度,保孔管_種別コード,保孔管_備考,フリー情報
JIS A 0206-2008,荒田論田川排水機場試錐工事報告書,18,21,1  ,136,42,13.581,35,22,38.587,1,5336,05,56,国土交通省 中部地方整備局 中部技術事務所,1978-03,＊,2.10,25.23,1,000,025.23,礫,1,025.23,017.00,40,30,002.14,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,G,531111000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,昭和４８年度大垣局改他１ヶ所土質調査　岐阜東Ｂ．Ｐ,18,21,1  ,136,47,6.553,35,23,47.286,1,5336,06,72,国土交通省 中部地方整備局 中部技術事務所,1978-03,＊,10.37,12.10,1,000,012.10,砂混り礫,1,012.10,012.00,99,30,002.90,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,G-S,531112000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,貫入不能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成２年度油坂峠道路その２地質調査,01,05,4  ,136,51,52.165,35,52,14.598,1,5336,66,49,国土交通省 中部地方整備局 岐阜国道事務所,1990-09,日本技研株式会社,367.14,26.00,1,000,026.00,軟岩・風化岩,1,026.00,020.85,60,02,007.30,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,4,,,,,SC,531231040,暗緑灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200003,,,,,,,,,023.00,02,21.10,59.00,03662.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成５年度１５６号名津佐地区地質調査（新黒古橋）,01,05,13 ,136,51,39.565,35,52,21.797,1,5336,66,48,国土交通省 中部地方整備局 岐阜国道事務所,1993-12,株式会社応用地学研究所,359.68,10.00,1,000,010.00,玉石混り礫質土,1,010.00,010.00,50,30,005.00,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,3,,,,,FI,,黄褐灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成18年度北ノ谷第1砂防えん堤詳細設計業務,09,06,6,136,27,15.1000,35,35,03.9000,1,5336,33,06,中部地方整備局越美山系砂防事務所,2007-02-03,玉野総合コンサルタント株式会社,205.19,12.48,2,,12.48,粘土質砂礫,1,12.48,12.20,50,28,7.14,2018/04/16 13:37 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),2号えん堤,No.2,7,02,1,2007-02-01,石垣 勝之,藤田 昌彦,藤田 昌彦,片山宏幸,0.00,45.00,KR-SH,50,2,NFAD-6,4,,2,,CP-50,CH-G,532120001,暗灰,11.00,12.48,岩塊の混入量が増える。岩塊はコア長L=5～7cm。岩種は泥岩、チャート質泥岩。\nGL-12m付近、逸水する。,,,,,,,,,,,,,,,,,,,,,,,2007-02-03,3,,,2007-02-03,12.48,10.00,10.80,86,2,崩壊,12.00,50,12.00,ダブル,ダイヤ,12.00,15.0,12.00,180,12.00,0.1,6,0,2,,,,,,,備考,960,D,破砕帯・粘土化帯でコア採取不可能なもの。,,,,,,,,12.48,11,10,19,10,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,ps,100,m/l,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成３年度油坂峠道路地質調査その１,01,01,1  ,136,50,47.269,35,52,40.993,1,5336,66,57,国土交通省 中部地方整備局 岐阜国道事務所,1991-10,株式会社ダイヤコンサルタント名古屋支店,413.02,23.00,2,000,023.00,軟岩・風化岩,1,023.00,010.15,50,18,001.50,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,4,,,,,,,灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009.00,009.50,01,,7.24E-05,,,,,,,,,,,,,,,,,貫入不能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成13年度　東海環状安八本巣地区地質調査,01,01,0006,136,39,5.4900,35,26,13.4580,1,5336,15,22,国土交通省中部地方整備局岐阜国道工事事務所,2002-03-12,大成基礎設計株式会社　名古屋支社,14.16,15.30,,,15.30,砂礫,1,15.30,15.15,50,15,1.53,2018/04/16 13:37 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,No.6(X=-62679.986 Y=-46498.718),0007,01,1,2002-03-08,前田　宏,山本　紀子,山本　紀子,南雲　大策,0.00,0.00,KR-100TA2,100,,NFD9-M,,,2,野張,V-6B,GS,531120000,,7.25,15.30,含水多い\nφ2～30mm位の亜円～亜角礫主体\nマトリックスは中～粗砂主体\n最大確認礫径φ70mm程度\n[12.00]12m付近より黄褐灰色に変わり、シルト分を混入,,,,,,,,,,,,,,,,,,,,,,,2002-3-9,,,,2002-3-11,15.30,,15.30,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,半自動型,599200003,褐灰～黄褐灰,15.30,33,10,17,5,17,10,6.00,01,68.9,82.7,1237,8.00,8.50,01,,4.94E-02,,,,,,,12.15,12.45,6-P4,100,7.25,15.30,更新世,111020000,111020000,ケーシング,,,,,,,,,15.30,0,中位,0,,7.25,15.30,第一礫層,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,関ヶ原バイパス（大高地区）地質調査,01,02,7  ,136,28,48.053,35,21,57.872,1,5336,03,38,国土交通省 中部地方整備局 岐阜国道事務所,1982-07,株式会社ダイヤコンサルタント,109.17,35.45,1,090,035.45,シルト混り礫,1,035.45,,,,,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,086,,,,,,,,,,,G-M,531113003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成１２年度東海環状美濃関地区地質調査,01,01,3  ,136,53,44.302,35,31,2.546,1,5336,27,21,国土交通省 中部地方整備局 岐阜国道事務所,2001-03,株式会社東京ソイルリサーチ,55.36,8.45,1,000,008.45,礫質土,1,008.45,008.15,46,30,006.87,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,2,,,,,GF,531100000,暗褐灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,犀川排水機場試錐工事,18,21,1  ,136,41,19.187,35,22,2.49,1,5336,05,45,国土交通省 中部地方整備局 中部技術事務所,1978-03,＊,,40.27,1,000,040.27,粘土混り礫,1,040.27,040.00,56,30,008.40,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,G-C,531113004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,犀川調整池地質調査,08,06,6  ,136,40,22.991,35,22,20.586,1,5336,05,43,国土交通省 中部地方整備局 木曽川上流河川事務所,1979-08,応用地整株式会社,5.47,25.30,1,000,025.30,礫質土,1,025.30,025.00,51,30,000.90,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,4,,,,,GF,531100000,褐褐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成９年度長良川上流部外２件堤防詳細点検,08,21,29 ,136,43,9.868,35,26,10.164,1,5336,15,27,国土交通省 中部地方整備局 木曽川上流河川事務所,1998-05,国際航業（株）,13.44,15.50,1,000,015.50,礫質土,1,015.50,015.15,50,20,005.39,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,4,,,,,GF,531100000,灰褐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200002,,,,,,,,,,,,,,006.50,007.00,,,1.21E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,鏡島大名田東島堤防調査,18,21,1  ,136,44,33.762,35,25,42.269,1,5336,15,19,国土交通省 中部地方整備局 中部技術事務所,1978-03,＊,16.72,12.00,1,000,012.00,礫,1,012.00,,,,,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,G,531111000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成１２年度東海環状美濃関地区地質調査,01,01,37 ,136,55,52.591,35,31,7.249,1,5336,27,24,国土交通省 中部地方整備局 岐阜国道事務所,2001-03,株式会社東京ソイルリサーチ,126.37,5.00,2,000,005.00,中硬岩,1,005.00,005.00,99,30,,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,2,,,,,MR,999010003,黒灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,貫入不能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成17年度　八幡管内防災設計業務委託,01,13,4,136,57,07.0000,35,43,35.0000,1,5336,47,76,国土交通省 中部地方整備局 岐阜国道事務所,2006-02-10,中央コンサルタンツ株式会社,217.43,10.00,2,,10.00,チャート,1,10.00,,,,0.00,2018/04/16 13:37 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),平成17年度　八幡管内防災設計業務委託,BH2,4,02,1,2006-02-07,伊藤範武,中島真哉,鈴木　稔規,鈴木　稔規,90.00,0.00,YBM-05,50,2,DFN08,,,,,カノ V-5,Cht,131000002,淡褐～青灰～淡褐,0.00,10.00,チャートからなる\nコア状\nGL-0.70～0.95m間 岩片状\nGL-2.90～3.00m間 岩片状\nGL-9.00～9.05m間 岩片状\n岩は15～30cm程度の棒状コア主体である\nコア表面は部分的に弱風化し淡褐色を帯びている\nGL-0.70～0.85m間　3cm程度の礫状化となる\nGL-2.90m付近　礫状化となる\nGL-3.20m付近、GL-3.30m付近、GL-3.60m付近、GL-3.85m付近　亀裂間に薄く砂を挟む\nGL-6.60～6.70m付近　亀裂有り\nGL-9.70m付近　弱風化し葉理状に剥離する\n所々に石英を帯状に挟む\n全体的に岩は新鮮で硬質である,015,E,極軟,マサ状、粘土状。a,10.00,012,980,VIII,採取不可,コアの採取ができないもの。スライムも含む。,10.00,920,10.00,012,10.00,012,014,4,強変質,構成鉱物、岩片等が変質鉱物で完全置換され、原岩組織を全く～殆ど残さないもの。,10.00,012,2006-02-10,2,,11,2006-02-10,10.00,0.50,,,,,10.00,0,,,,10.00,800.0,10.00,120,10.00,0.7,15,7,2,10.00,100,10.00,47,10.00,64,備考,960,D,破砕帯・粘土化帯でコア採取不可能なもの。,10.00,930,,,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,PS,50,l/min,,,,,,,,,,014,d,d,割れ目として認識できない角礫状、砂状、粘土状コア。,015,ε,ε,強風化している。石英および一部の長石を除きほとんど変質し原岩組織は失われている。,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,昭和６２年度岐阜東バイパス岩戸高架橋地質調査,01,05,16 ,136,47,10.349,35,25,17.476,1,5336,16,02,国土交通省 中部地方整備局 岐阜国道事務所,1987-08,中央開発株式会社,15.48,14.05,1,000,014.05,粘土質高有機質土(腐植土),1,014.05,014.00,60,05,000.85,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,2,,,,,M,532110000,褐灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成16年度　東海環状西関地区外2件地質調査,01,01,0012,136,56,33.3000,35,24,36.3000,1,5336,07,95,国土交通省中部地方整備局岐阜国道事務所,2004-09-06,パシフィックコンサルタンツ株式会社,72.81,5.90,1,0.00,5.90,砂岩,1,5.90,3.05,50,12,1.50,2018/04/16 13:37 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),鵜沼地区,H16-No.14,0024,02,1,2004-09-03,森野善広,榎照仁,榎照仁,服部吉幸,0.00,0.00,YBM-05DA-2,50,2,NFD-9,2,半自動型,2,野帳,CP55,Ss,111200002,淡褐～灰,3.40,5.90,"中～粗粒砂岩。CL級。
全体に亀裂が発達し、岩片はハンマーで容易に割れる程度。
3.8～4.0m、5.2～5.3mは、粘板岩を挟在する。
4.15m以浅は全体に褐色化する。4.15m以深は亀裂面の一部が褐色化する。",,,,,,,,,,,,,,,,,,,,,,,2004-09-06,1,,,2004-09-06,5.90,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200003,,5.90,30,10,20,2,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,PS,55,l/min,,5.90,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,昭和５２年度．伊自良川竹橋設計業務委託,08,05,1  ,136,42,43.172,35,25,29.068,1,5336,15,06,国土交通省 中部地方整備局 木曽川上流河川事務所,1978-03,富士エンジニアリング（株）名古屋事務所,10.21,20.30,1,000,020.30,礫質土,1,020.30,020.00,40,30,003.20,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,3,,,,,GF,531100000,褐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010.50,02,01.50,07.75,00082.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,２１．２２号バイパス地質調査,18,21,1  ,136,45,49.561,35,23,16.688,1,5336,06,61,国土交通省 中部地方整備局 中部技術事務所,1978-03,＊,,17.00,1,000,017.00,玉石混り礫質土,1,017.00,003.20,50,30,000.20,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,SM,531231030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,岐大バイパス地質調査（その２）工事,18,21,1  ,136,40,45.688,35,23,0.082,1,5336,05,64,国土交通省 中部地方整備局 中部技術事務所,1978-03,＊,5.67,24.35,1,000,024.35,礫,1,024.35,019.00,50,30,000.37,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,G,531111000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成１２年度東海環状美濃関地区地質調査,01,01,19 ,136,54,33.097,35,31,13.446,1,5336,27,22,国土交通省 中部地方整備局 岐阜国道事務所,2001-03,株式会社東京ソイルリサーチ,60.84,6.35,1,000,006.35,玉石混り礫質土,1,006.35,006.15,50,20,001.60,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,2,,,,,S,531211000,暗黄灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004.75,02,05.26,29.57,00816.00,001.99,002.00,01,,9.44E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,岐阜東バイパス日野地区地質調査,01,05,4  ,136,48,27.341,35,25,46.075,1,5336,16,14,国土交通省 中部地方整備局 岐阜国道事務所,1985-01,（株）シマダ技術コンサルタント,20.93,19.45,1,000,019.45,火山灰質砂,1,019.45,019.15,46,30,000.90,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,SV,531231060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009.20,02,02.43,05.61,00131.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成19年度21号坂祝バイパス大針～勝山地区地質調査,01,04,8,136,58,22.0900,35,26,03.2400,1,5336,17,27,国土交通省中部地方整備局岐阜国道事務所,2008-03-28,株式会社　アイ・エヌ・エー,102.25,15.00,2,,15.00,砂岩,1,15.00,13.05,50,10,12.37,2018/04/16 13:37 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),国道21号坂祝バイパス,No.8,10,01,4,2007-11-22,野村文明,大橋　克,野村文明,阿部和宏,0.00,34.00,YBM-05,50,3,ヤンマーNFAD-8,2,,2,,アリミツSR-505,Ss,111200002,暗灰,13.60,15.00,相対的に割れ目が少なく、短棒～片状コアよりなる。,015,E,極軟,マサ状、粘土状。a,15.00,012,018,h,,コアの採取ができないもの。スライムも含む。,15.00,,15.00,011,15.00,011,,,,,,,2008-01-30,1,,12,2008-01-30,15.00,,15.00,66,2,,15.00,133,15.00,ダブル,ダイヤモンドビット,15.00,20.0,15.00,200,15.00,0.1,10,10,2,15.00,100,14.00,12,14.00,12,備考,960,D,破砕帯・粘土化帯でコア採取不可能なもの。,15.00,940,,,,599200003,,15.00,50,10,15,10,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,kW,40,L/min,3,,,,,,,,,014,d,,割れ目として認識できない角礫状、砂状、粘土状コア。,015,ε,,強風化している。石英および一部の長石を除きほとんど変質し原岩組織は失われている。,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成19年度21号坂祝バイパス大針～勝山地区地質調査,01,01,9,136,58,20.0000,35,26,00.9200,1,5336,17,27,国土交通省中部地方整備局岐阜国道事務所,2008-03-28,株式会社　アイ・エヌ・エー,83.47,10.00,2,,10.00,砂岩,1,10.00,9.00,50,2,0.97,2018/04/16 13:37 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),国道21号坂祝バイパス,No.9,10,01,4,2007-11-22,野村文明,大橋　克,野村文明,阿部和宏,0.00,30.00,YBM-05,50,3,ヤンマーNFAD-8,2,,2,,アリミツSR-505,Ss,111200002,暗灰,8.45,10.00,・8.45m以深は、ほぼ新鮮となる。,015,E,極軟,マサ状、粘土状。a,10.00,012,018,h,,コアの採取ができないもの。スライムも含む。,10.00,,10.00,012,10.00,013,,,,,,,2008-01-17,1,,12,2008-01-17,10.00,,10.00,66,2,,10.00,118,10.00,ダブル,ダイヤモンドビット,10.00,15.0,10.00,220,10.00,0.1,15,15,2,10.00,90,10.00,40,10.00,55,備考,960,D,破砕帯・粘土化帯でコア採取不可能なもの。,10.00,940,,,,999200001,,10.00,50,2,4,10,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,kW,40,L/min,3,,,,,,,,,014,d,,割れ目として認識できない角礫状、砂状、粘土状コア。,015,ε,,強風化している。石英および一部の長石を除きほとんど変質し原岩組織は失われている。,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,岐阜東バイパス日野地区地質調査,01,01,3  ,136,48,15.742,35,25,44.874,1,5336,16,14,国土交通省 中部地方整備局 岐阜国道事務所,1985-01,（株）シマダ技術コンサルタント,20.94,17.33,1,000,017.33,火山灰質砂,1,017.33,017.15,50,14,000.80,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,SV,531231060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
